title,category,brand_name,short_description,product_url,image_url,social_proof,rating_score,review_count,price,badges
La Petite Robe Noire,Eyeliner,Guerlain,Roll Ink Eyeliner 01 Black Ink,https://www.trendyol.com/guerlain/la-petite-robe-noire-roll-ink-eyeliner-01-black-ink-p-4827131?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty50/product/media/images/20210112/7/51598702/18244053/1/1_org.jpg,128 peopleliked it!128 peopleliked it!,4.8,6,"1,396.50TL","['Buy More Pay Less', 'Buy and Win Together']"
N/A,Kaş Kalemi & Farı,Guerlain,02 Stick Dark Eyebrow Pencil,https://www.trendyol.com/guerlain/the-eyebrow-pencil-02-stick-dark-kas-kalemi-p-59154941?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1390/product/media/images/prod/QC/20240630/05/4e7dc18c-da65-36f8-b090-dccdf4298e42/1_org.jpg,,N/A,N/A,"2,457.40TL",['Buy and Win Together']
N/A,Kaş Kalemi & Farı,Guerlain,01 Stick Light Eyebrow Pencil,https://www.trendyol.com/guerlain/the-eyebrow-pencil-01-stick-light-kas-kalemi-p-58509550?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1390/product/media/images/prod/QC/20240630/05/43e803ee-06f5-3dcf-8bea-7a3011d644c9/1_org.jpg,,N/A,N/A,"2,457.40TL",['Buy and Win Together']
Eyebrow Pencil 01 Brown,Kaş Kalemi & Farı,Guerlain,Ideal 1.08 gr 3346470418516,https://www.trendyol.com/guerlain/kas-kalemi-01-brun-ideal-1-08-gr-3346470418516-p-2914470?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1389/product/media/images/prod/QC/20240630/05/c3cdfdf7-26ad-3745-b075-a408dd25bcfd/1_org.jpg,,5.0,1,"2,457.40TL",['Buy and Win Together']
N/A,Kaş Kalemi & Farı,Guerlain,01 Clair Eyebrow Pencil,https://www.trendyol.com/guerlain/mad-eyes-eyebrow-pen-01-clair-kas-kalemi-p-120605752?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty137/product/media/images/20210628/10/104848007/194191906/1/1_org.jpg,168 peopleliked it!168 peopleliked it!,N/A,N/A,"1,548.76TL",['Buy and Win Together']
Marlies Möller,Saç Kremi,Marlies Möller,Marine Moisture Conditioner 200ml,https://www.trendyol.com/marlies-moller/marlies-moller-marine-moisture-conditioner-200ml-p-3270752?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty302/product/media/images/20220120/12/30407433/14710946/1/1_org.jpg,,5.0,1,"1,606.40TL",['Buy and Win Together']
N/A,Saç Kremi,Sachajuan,Conditioner 250ml,https://www.trendyol.com/sachajuan/thickening-conditioner-250ml-p-164150441?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty202/product/media/images/20211018/19/151824424/267964791/0/0_org.jpg,,N/A,N/A,"1,010TL",['Buy and Win Together']
N/A,Saç Kremi,Sachajuan,Hair Conditioner 250ml,https://www.trendyol.com/sachajuan/sari-saclar-icin-sac-kremi-250ml-p-2203556?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1389/product/media/images/prod/QC/20240630/05/890cb8c4-4040-33dd-bf28-65c206bd4c1b/1_org.jpg,,N/A,N/A,"1,060.50TL",['Buy and Win Together']
N/A,Saç Kremi,René Furterer,Conditioner 150 ml Hair Conditioner,https://www.trendyol.com/rene-furterer/fioravanti-conditioner-150-ml-sac-kremi-p-5476705?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1389/product/media/images/prod/QC/20240630/05/9d2d137d-ea0a-341a-ba99-90dc7f9609e7/1_org.jpg,,N/A,N/A,703.50TL,['Buy and Win Together']
N/A,Saç Kremi,Rene Furterer,Okara Leave In Conditioner 150 Ml 3282779285520,https://www.trendyol.com/rene-furterer/sac-kremi-okara-leave-in-conditioner-150-ml-3282779285520-p-4827117?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1390/product/media/images/prod/QC/20240630/05/14b563d9-8132-35be-a5df-3c08305371ba/1_org.jpg,,N/A,N/A,609.40TL,['Buy and Win Together']
Carthame,Saç Kremi,René Furterer,Leave-in Conditioner 75 ml,https://www.trendyol.com/rene-furterer/carthame-durulanmayan-sac-kremi-75-ml-p-4827058?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1394/product/media/images/prod/QC/20240701/15/42b40328-ef5a-329a-9de7-4e1d856fd4c8/1_org.jpg,,3.0,2,703.50TL,['Buy and Win Together']
Hair Care Cream -,Saç Kremi,Sachajuan,Over Night Hair Repair 100 ml 7350016331449,https://www.trendyol.com/sachajuan/sac-bakim-kremi-over-night-hair-repair-100-ml-7350016331449-p-2223427?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1390/product/media/images/prod/QC/20240630/05/bb45eca7-c19d-34ba-a176-cb3d97096a8a/1_org.jpg,106 peopleliked it!106 peopleliked it!,4.3,3,"1,645TL",['Buy and Win Together']
Hair Therapy Care &,Saç Kremi,DLAYS,Repair Leave-In Conditioner 160 ml Sweet Almond Oil / Castor Oil,https://www.trendyol.com/dlays/hair-therapy-bakim-onarim-durulanmayan-sac-kremi-160-ml-tatli-badem-yagi-hint-yagi-p-671893036?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/fec3f114-9744-32b4-a95f-e16bbf217db6/1_org.jpg,,5.0,2,315TL,"['Buy More Pay Less', 'Buy and Win Together']"
N/A,Saç Kremi,Marlies Moller,Vegan Pure Leave-In Conditioner 150ml,https://www.trendyol.com/marlies-moller/marlies-moller-vegan-pure-durulanmayan-sac-kremi-150ml-p-339727272?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1389/product/media/images/prod/QC/20240630/05/bf22351f-5981-3ccc-85a3-25eefe0670d0/1_org.jpg,,N/A,N/A,"1,322.80TL",['Buy and Win Together']
N/A,Saç Kremi,Sachajuan,Conditioner 100 Ml Travel Size,https://www.trendyol.com/sachajuan/moisturizing-conditioner-100-ml-seyahat-boyu-p-263310757?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1390/product/media/images/prod/QC/20240630/05/1dcb7c9b-c6f1-35eb-a360-62e7bd3903a1/1_org.jpg,,N/A,N/A,790.01TL,['Buy and Win Together']
N/A,Saç Kremi,Sachajuan,Conditioner 250 ml Hair Conditioner,https://www.trendyol.com/sachajuan/colour-protect-conditioner-250-ml-sac-kremi-p-4183894?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1390/product/media/images/prod/QC/20240630/05/5fa60844-aff3-3fd4-816e-7477b44dac05/1_org.jpg,,N/A,N/A,"1,009.83TL",['Buy and Win Together']
Brilliance,Saç Kremi,Marlies Moller,Colour Color Protection Care Cream 200 ml 9007867210123,https://www.trendyol.com/marlies-moller/brilliance-colour-renk-koruma-bakim-kremi-200-ml-9007867210123-p-3270745?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1393/product/media/images/prod/QC/20240701/19/0b9b7d41-3818-334d-af46-ed4fbbc8c89b/1_org.jpg,,5.0,3,"1,622.50TL",['Buy and Win Together']
Ocean Mist Volume,Saç Kremi,Sachajuan,Conditioner 250 ml Hair Conditioner,https://www.trendyol.com/sachajuan/ocean-mist-volume-conditioner-250-ml-sac-kremi-p-2223449?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty57/product/media/images/20210117/19/54235026/12238869/1/1_org.jpg,,5.0,1,"1,390TL",['Buy and Win Together']
N/A,Saç Kremi,Marlies Möller,Hair Care with Content - Silky Repair Elixir 50 ml 7622500257086,https://www.trendyol.com/marlies-moller/onarici-ipek-icerikli-sac-bakimi-silky-repair-elixir-50-ml-7622500257086-p-4827052?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty95/product/media/images/20210404/01/442521f6/18244044/1/1_org.jpg,,N/A,N/A,"4,980TL",['Buy and Win Together']
N/A,Saç Kremi,DLAYS,Leave-In Conditioner 160 ml Argan Oil & Keratin,https://www.trendyol.com/dlays/hair-therapy-yenileyici-durulanmayan-sac-kremi-160-ml-argan-yag-keratin-p-671865722?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1389/product/media/images/prod/QC/20240630/05/a7e8adea-eea3-377b-89e0-70b4542970d3/1_org.jpg,,N/A,N/A,347.40TL,"['Buy More Pay Less', 'Buy and Win Together']"
Ocean Mist Hair,Saç Kremi,Sachajuan,Cream 125 ml Hair Conditioner,https://www.trendyol.com/sachajuan/ocean-mist-hair-cream-125-ml-sac-kremi-p-81207968?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/73e01480-4622-3947-9486-37051305c323/1_org.jpg,,5.0,1,"1,216TL",['Buy and Win Together']
N/A,Saç Spreyi,Rene Furterer,Fixant 200 ml Şekillendirici Spray,https://www.trendyol.com/rene-furterer/spray-coiffeur-fixant-200-ml-sekillendirici-spray-p-1816738?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1390/product/media/images/prod/QC/20240630/05/3edb4f3e-08b0-3bf5-80d6-ee19fa5f02b1/1_org.jpg,,N/A,N/A,"987,40 TL",['Birlikte Al Kazan']
N/A,Saç Spreyi,Rene Furterer,Vegetal 200 ml Şekillendirici Köpük,https://www.trendyol.com/rene-furterer/style-mousse-vegetal-200-ml-sekillendirici-kopuk-p-1816697?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1389/product/media/images/prod/QC/20240630/05/55f33d92-ac02-3a1c-aec9-79ebade8889f/1_org.jpg,,N/A,N/A,"987,40 TL",['Birlikte Al Kazan']
N/A,Saç Spreyi,Sachajuan,Protective Hair Parfume 50ml 7350016331739,https://www.trendyol.com/sachajuan/sac-spreyi-protective-hair-parfume-50ml-7350016331739-p-4218210?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1390/product/media/images/prod/QC/20240630/05/350de240-622d-3a0f-9382-d55aee8026b7/1_org.jpg,,N/A,N/A,"2.394,92 TL",['Birlikte Al Kazan']
