name,price,description,image_url
Coca-Cola Şekersiz (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Fanta (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Sprite (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Cappy (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Fuse Tea Limon (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Şalgam Suyu (33 cl.),40 TL,Pet şişe,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Sütaş Ayran (30 cl.),40 TL,Büyük,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Soda,35 TL,Cam şişe,https://images.deliveryhero.io/image/fd-tr/Products/5842400.jpg?width=187.5&height=187.5
Su (50 cl.),12 TL,Pet şişe,https://images.deliveryhero.io/image/fd-tr/Products/5842402.jpg?width=187.5&height=187.5
Coca-Cola (1 L.),90 TL,Pet şişe,https://images.deliveryhero.io/image/fd-tr/Products/5842403.jpg?width=187.5&height=187.5
Sütaş Ayran (1 L.),90 TL,Pet şişe,https://images.deliveryhero.io/image/fd-tr/Products/5842404.jpg?width=187.5&height=187.5
"Coca-Cola (2,5 L.)",110 TL,Pet şişe,https://images.deliveryhero.io/image/fd-tr/Products/5842405.jpg?width=187.5&height=187.5
Fuse Tea Şeftali (33 cl.),45 TL,Kutu içecek,https://images.deliveryhero.io/image/fd-tr/Products/45223676.jpg?width=187.5&height=187.5
Poşet,"0,25 TL","Çevre Kanunu kapsamında yapılan değişiklikle her bir plastik poşetin tüketicilere 0,25 TL fiyat karşılığı satılması Çevre, Şehircilik ve İklim Değişikliği Bakanlığı tarafından zorunlu hale getirilmiştir. Plastik poşet talep etmeniz halinde ürünü sepete eklemeniz gerekmektedir. Sepete eklenen her bir plastik poşet için ilgili bedel tarafınızdan tahsil edilecektir.",https://images.deliveryhero.io/image/fd-tr/Products/5842406.jpg?width=187.5&height=187.5
Adana Dürüm Menü,155 TL,Adana Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://images.deliveryhero.io/image/fd-tr/Products/34362742.jpg?width=187.5&height=187.5
2'li Lahmacun Menü,280 TL,2 Adet Lahmacun + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://images.deliveryhero.io/image/fd-tr/Products/34224108.jpg?width=187.5&height=187.5
İskender (Et Dönerden),295 TL,"Sos, yoğurt. Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
